title,description,price,stock_quantity,image_url,is_featured,is_active,category_name
Full Coverage Cross Stitch,A full coverage cross stitch project depicting a cozy European village.,39.70,3,https://via.placeholder.com/300x200?text=Full+Coverage+Cross+Stitch,true,true,Fiber Crafts
Handwoven Wool Scarf,A soft handwoven scarf made with natural wool fibers and a warm striped pattern.,44.45,1,https://via.placeholder.com/300x200?text=Handwoven+Wool+Scarf,true,true,Fiber Crafts
Macrame Wall Hanging,A decorative macrame hanging with layered knots and neutral cotton cord.,22.85,9,https://via.placeholder.com/300x200?text=Macrame+Wall+Hanging,false,true,Fiber Crafts
Embroidered Floral Hoop,A delicate embroidery hoop featuring detailed wildflowers on linen.,24.31,10,https://via.placeholder.com/300x200?text=Embroidered+Floral+Hoop,false,true,Fiber Crafts
Quilted Table Runner,A quilted table runner with geometric patchwork in muted seasonal tones.,21.89,9,https://via.placeholder.com/300x200?text=Quilted+Table+Runner,true,true,Fiber Crafts
Crocheted Baby Blanket,A lightweight crocheted blanket stitched in a soft ripple pattern.,32.38,2,https://via.placeholder.com/300x200?text=Crocheted+Baby+Blanket,false,true,Fiber Crafts
Tapestry Weave Panel,A small woven tapestry panel with earthy color blocking and texture.,47.05,2,https://via.placeholder.com/300x200?text=Tapestry+Weave+Panel,false,true,Fiber Crafts
Needle Felted Fox,A hand-shaped needle felted fox with carefully blended orange and cream wool.,34.12,9,https://via.placeholder.com/300x200?text=Needle+Felted+Fox,false,true,Fiber Crafts
Knotted Plant Hanger,A suspended plant hanger made from braided cotton rope and wooden beads.,46.44,14,https://via.placeholder.com/300x200?text=Knotted+Plant+Hanger,false,true,Fiber Crafts
Beaded Fringe Earrings,A pair of colorful fringe earrings made with glass seed beads.,55.89,4,https://via.placeholder.com/300x200?text=Beaded+Fringe+Earrings,true,true,Fiber Crafts
Punch Needle Cushion Cover,A textured punch needle cushion cover with abstract loops and stripes.,60.25,10,https://via.placeholder.com/300x200?text=Punch+Needle+Cushion+Cover,false,true,Fiber Crafts
Applique Wall Banner,A fabric wall banner featuring layered applique shapes and stitched accents.,81.50,10,https://via.placeholder.com/300x200?text=Applique+Wall+Banner,false,true,Fiber Crafts
Handspun Yarn Skein,A small-batch skein of handspun yarn with tonal shifts and soft loft.,57.23,1,https://via.placeholder.com/300x200?text=Handspun+Yarn+Skein,false,true,Fiber Crafts
Woven Coaster Set,A set of woven coasters with durable fibers and simple modern bands.,83.41,1,https://via.placeholder.com/300x200?text=Woven+Coaster+Set,false,true,Fiber Crafts
Lace Bookmark,A handmade lace bookmark with a delicate floral motif and fine threadwork.,55.30,3,https://via.placeholder.com/300x200?text=Lace+Bookmark,true,true,Fiber Crafts
Braided Rag Rug,A compact braided rug constructed from recycled fabric strips.,37.40,3,https://via.placeholder.com/300x200?text=Braided+Rag+Rug,false,true,Fiber Crafts
Sashiko Repair Sampler,A stitched sashiko sampler demonstrating visible mending techniques.,54.23,10,https://via.placeholder.com/300x200?text=Sashiko+Repair+Sampler,false,true,Fiber Crafts
Felted Wool Bowl,A wet-felted decorative bowl with a rounded shape and blended color finish.,38.67,14,https://via.placeholder.com/300x200?text=Felted+Wool+Bowl,false,true,Fiber Crafts
Tufted Mini Mirror Frame,A small mirror frame accented with tufted yarn in playful pastel colors.,63.69,2,https://via.placeholder.com/300x200?text=Tufted+Mini+Mirror+Frame,false,true,Fiber Crafts
Patchwork Tote Bag,A lined tote bag pieced from patterned fabric squares and sturdy handles.,56.97,11,https://via.placeholder.com/300x200?text=Patchwork+Tote+Bag,true,true,Fiber Crafts
Wrist Warmers,A pair of hand-knit wrist warmers with ribbing and thumb openings.,30.59,2,https://via.placeholder.com/300x200?text=Wrist+Warmers,false,true,Fiber Crafts
Woven Lavender Sachet,A woven sachet filled with dried lavender and finished with hand stitching.,54.70,2,https://via.placeholder.com/300x200?text=Woven+Lavender+Sachet,false,true,Fiber Crafts
Silk Ribbon Embroidery,A botanical embroidery made with silk ribbon petals and raised details.,55.81,10,https://via.placeholder.com/300x200?text=Silk+Ribbon+Embroidery,false,true,Fiber Crafts
Crochet Market Bag,An expandable crochet bag with openwork stitches for everyday shopping.,31.80,11,https://via.placeholder.com/300x200?text=Crochet+Market+Bag,false,true,Fiber Crafts
Fabric Collage Panel,"A stitched fabric collage combining scraps, thread sketching, and layered texture.",53.63,13,https://via.placeholder.com/300x200?text=Fabric+Collage+Panel,true,true,Fiber Crafts
Dino,A small sculpture of a dinosaur made of Elm wood.,80.55,10,https://via.placeholder.com/300x200?text=Dino,true,true,Sculptures
Clay Vase,A handmade clay vase with a smooth matte finish and gently curved silhouette.,168.90,6,https://via.placeholder.com/300x200?text=Clay+Vase,true,true,Sculptures
